Cod.Articolo,Nome Prodotto,Categoria,Sottocategoria,Descrizione,Specifiche Tecniche,Conf.(pz),Box(pz),Bianco(_B),Nero(_N),Marrone(_M),Oro(_O),Argento(_A),Trasparente(_T),Nickelato(_NK),Grigio(_G)
2001,Spina Coaxiale,Materiale TV,Connettore Antenna,"Connettore cavo antenna TV maschio 9,5 mm","Impedenza: 75Ω | Contatti: a vite | Ø spina: 9,5 mm | Tipo: Maschio",100,1800,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2002,Presa Coaxiale,Materiale TV,Connettore Antenna,"Connettore cavo antenna TV femmina 9,5 mm","Impedenza: 75Ω | Contatti: a vite | Ø presa: 9,5 mm | Tipo: Femmina",100,1500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2002/A,Presa Coaxiale Aperta,Materiale TV,Connettore Antenna,"Connettore cavo antenna TV femmina 9,5 mm aperta","Impedenza: 75Ω | Contatti: a vite | Ø presa: 9,5 mm | Tipo: Femmina",100,1500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2004,Spina Coaxiale Schermata,Materiale TV,Connettore Antenna,"Connettore maschio schermato 9,5 mm con avvitamento","Impedenza: 75Ω | Contatti: avvitamento | Ø spina: 9,5 mm | Schermata: Sì",100,1800,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2004-N,Spina Coaxiale Nickelata Schermata,Materiale TV,Connettore Antenna,"Connettore maschio 9,5 mm nichelato e schermato per impianti professionali","Impedenza: 75Ω | Contatti: avvitamento | Ø spina: 9,5 mm | Schermata: Sì",100,1800,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2004/F,Presa Coaxiale Schermata,Materiale TV,Connettore Antenna,"Connettore femmina schermata 9,5 mm con avvitamento","Impedenza: 75Ω | Contatti: avvitamento | Ø spina: 9,5 mm | Schermata: Sì",100,1500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2004/F-N,Presa Coaxiale Nickelata Schermata,Materiale TV,Connettore Antenna,"Connettore femmina 9,5 mm nichelata e schermata per impianti professionali","Impedenza: 75Ω | Contatti: avvitamento | Ø presa: 9,5 mm | Schermata: Sì",100,1500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3004,Giuntacavo Coaxiale,Materiale TV,Connettore Antenna,Giuntacavo coassiale per collegamento di due cavi antenna TV,"Impedenza: 75Ω | Contatti: a vite | Ø: 9,5 mm | Tipo: Giunzione",50,300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3006,Spina Coaxiale M a PIPA,Materiale TV,Connettore a Pipa,"Connettore maschio 9,5 mm a forma di pipa, ideale per spazi ristretti","Impedenza: 75Ω | Contatti: a vite | Ø spina: 9,5 mm | Forma: 90°",50,300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3006/F,Presa Coaxiale F a PIPA,Materiale TV,Connettore a Pipa,"Connettore femmina 9,5 mm a forma di pipa, ideale per spazi ristretti","Impedenza: 75Ω | Contatti: a vite | Ø presa: 9,5 mm | Forma: 90°",50,300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3007,Spina Coaxiale a PIPA 13mm,Materiale TV,Connettore a Pipa,Connettore maschio 13 mm a forma di pipa per cavi di maggior diametro,Impedenza: 75Ω | Contatti: a vite | Ø spina: 13 mm | Forma: 90°,50,300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3019,Spina Coaxiale Tripla resistiva,Materiale TV,Sdoppiatore,"Spina coassiale tripla resistiva: 1 ingresso maschio, 2 uscite femmina 9,5 mm","Tipo: Induttivo | N° spine: 1 | N° prese: 2 | Attenuazione: 3,5 dB",25,300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3020,Spina Coaxiale Tripla induttiva,Materiale TV,Sdoppiatore,"Spina coassiale tripla induttiva: 1 ingresso maschio, 2 uscite femmina 9,5 mm","Tipo: Induttivo | N° spine: 1 | N° prese: 2 | Attenuazione: 3,5 dB",25,300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3021,Presa Coaxiale Tripla,Materiale TV,Sdoppiatore,"Presa coassiale tripla resistiva: 3 ingressi femmina 9,5 mm","Tipo: Induttivo | N° prese: 3 | Attenuazione: 3,5 dB",25,300,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3022,Tripla satellitare in ottone nichelato,Materiale TV,Sdoppiatore,"Tripla satellitare F a T, 3 prese sat.","Tipologia: Tripla Satellitare a ""T"" (Splitter a 2 vie) | Connessioni: 3 x Presa F Femmina | Materiale: Ottone Nichelato | Frequenza: 5 - 2400 MHz | Segnale: Digitale & Analogico | Standard: DVB-S, DVB-S2, FM, DVB-C (TV via Cavo)",25,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
612/T,Adattatore semplice 16A,Materiale Elettrico,Adattatore,"Spina 16A 2P+T, presa 10A 16A",Poli: 2P+T | Tensione: 250 Vac | Corrente: 16A | Alveoli: protetti,50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
614/4,"Connettore F spina da avvitare mm. 3,6 ",Materiale TV,Connettore,"Montaggio ad avvitare RG6/U per cavi coassiali è adatto per segnali analogici e digitali DVB-T, DVB-S e DVB-T2.","Ø Cavo: 3,6 mm | Materiale Spina: Ottone | Compatibilità: DVB-T, DVB-S, DVB-T2 | Segnale: Analogico/Digitale",100,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
614/5,Connettore F spina da avvitare mm. 5 ,Materiale TV,Connettore,"Montaggio ad avvitare RG6/U per cavi coassiali è adatto per segnali analogici e digitali DVB-T, DVB-S e DVB-T2.","Ø Cavo: 5,0 mm | Materiale Spina: Ottone | Compatibilità: DVB-T, DVB-S, DVB-T2 | Segnale: Analogico/Digitale",100,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
614/6,Connettore F spina da avvitare mm. 6,Materiale TV,Connettore,"Montaggio ad avvitare RG6/U per cavi coassiali è adatto per segnali analogici e digitali DVB-T, DVB-S e DVB-T2.","Ø Cavo: 6,0 mm | Materiale Spina: Ottone | Compatibilità: DVB-T, DVB-S, DVB-T2 | Segnale: Analogico/Digitale",100,300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
620,Adattatore Schuko 10A,Materiale Elettrico,Adattatore Schuko,Adattatore Schuko 10A con presa Schuko 16A e alveoli protetti. Norma CEI 23-50,Spina: 2P+T 10A | Presa: Schuko 16A | Alveoli: Protetti | Tensione: 250 Vac,50,250,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
621,Adattatore Schuko 16A,Materiale Elettrico,Adattatore Schuko,Adattatore Schuko 16A con presa Schuko 16A e alveoli protetti. Norma CEI 23-50,Spina: 2P+T 16A | Presa: Schuko 16A | Alveoli: Protetti | Tensione: 250 Vac,50,500,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
624,Adattatore Schuko,Materiale Elettrico,Adattatore Schuko,"Adattatore Schuko con spina 16A, presa bivalente 2P+T 10A 16A",Spina: Schuko 16A | Presa: Bivalente 10/16A | Alveoli: Protetti | Tensione: 250 Vac,50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6511,Adattatore coaxiale S/S,Materiale TV,Adattatore,"Adattatore coaxiale spina/spina  9,5mm 75 Ohm","Spina: Coaxiale | Ø spina: 9,5 mm | Resistenza Elettrica: 75 Ω",50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6512,Adattatore coaxiale P/P,Materiale TV,Adattatore,"Adattatore coaxiale presa/presa  9,5mm 75 Ohm","Presa: Coaxiale | Ø spina: 9,5 mm | Resistenza Elettrica: 75 Ω",50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6519,Cavetto TV Mt.2 S/S ,Materiale TV,Cavetto,"Cavetto TV da spina a spina (M-M) mt. 2,00","Lunghezza: 2,00 mt | Ø Spina: 9,5 mm | Impedenza: 75Ω | Connettori: Maschio / Maschio",50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6519/ad,Cavetto TV Mt.2 S/S + AD P/P,Materiale TV,Cavetto,"Cavetto TV da spina a spina (M-M) con adattatore F/F mt. 2,00","Lunghezza: 2,00 mt | Ø Spina: 9,5 mm | Impedenza: 75Ω | Connettori: Maschio / Maschio | Incluso: Adattatore F-F (Femmina-Femmina)",50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6520,Cavetto TV MT. 2 S/P,Materiale TV,Cavetto,"Cavetto TV da spina a presa (M-F) mt. 2,00","Lunghezza: 2,00 mt | Ø Spina: 9,5 mm | Impedenza: 75Ω | Connettori: Maschio / Femmina",50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6520/ad,Cavetto TV MT. 2 S/P + AD S/S,Materiale TV,Cavetto,"Cavetto TV da spina a presa (M-F) con adattatore M/M mt.2,00","Lunghezza: 2,00 mt | Ø Spina: 9,5 mm | Impedenza: 75Ω | Connettori: Maschio / Femmina | Incluso: Adattatore M-M (Maschio-Maschio)",50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6524,"Cavetto alimentazione 2x0,50",Materiale Elettrico,Cavetto,Cavi di alimentazione spina 10A 2P,"Cablaggio: Bipolare | Cavo: 2x0,50 mm² | Standard EU: H03VV-F | Tensione Nominale: 250Vac | Corrente Nominale: 2A",25,250,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6524-a,"Cavetto alimentazione 2x0,75",Materiale Elettrico,Cavetto,Cavi di alimentazione spina 10A 2P,"Cablaggio: Bipolare | Cavo: 2x0,75 mm² | Standard EU: H03VV-F | Tensione Nominale: 250Vac | Corrente Nominale: 2A",25,250,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6525,"Cavetto alimentazione 3x0,75",Materiale Elettrico,Cavetto,Cavi di alimentazione spina 10A 2P+T,"Cablaggio: Tripolare | Cavo: 3x0,75 mm² | Standard EU: H03VV-F  | Tensione Nominale: 250Vac | Corrente Nominale: 2A",25,250,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6528/10,Prolunga lineare 10A Mt.2,Materiale Elettrico,Prolunga,Prolunga Lineare spina 10A presa 10A mt.2,Cablaggio: Tripolare | Cavo: 3x1 mm² | Standard EU: H05VV-F | Connettori: Spina e Presa 2P+T 10A | Tensione Nominale: 250Vac | Sicurezza: Alveoli Protetti,1,35,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6528/16,Prolunga lineare 16A mt.2,Materiale Elettrico,Prolunga,Prolunga lineare spina 16A presa Bipasso mt.2,Cablaggio: Tripolare | Cavo: 3x1 mm² | Standard EU: H05VV-F | Spina: 2P+T 16A | Presa: Bivalente 2P+T 10-16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Alveoli Protetti,1,35,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6529/10,Prolunga lineare 10A mt.3,Materiale Elettrico,Prolunga,Prolunga lineare spina 10A presa 10A mt.3,Cablaggio: Tripolare | Cavo: 3x1 mm² | Standard EU: H05VV-F | Spina: 2P+T 10A | Presa: 2P+T 10A | Tensione Nominale: 250Vac | Corrente Nominale: 10A | Sicurezza: Alveoli Protetti,1,30,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6529/16,Prolunga lineare 16A mt.3,Materiale Elettrico,Prolunga,Prolunga lineare spina 16A presa Bipasso mt.3,Cablaggio: Tripolare | Cavo: 3x1 mm² | Standard EU: H05VV-F | Spina: 2P+T 16A | Presa: Bivalente 2P+T 10-16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Alveoli Protetti,1,30,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6530/10,Prolunga lineare 10A mt.5,Materiale Elettrico,Prolunga,Prolunga lineare spina 10A presa 10A mt.5,Cablaggio: Tripolare | Cavo: 3x1 mm² | Standard EU: H05VV-F | Spina: 2P+T 10A | Presa: 2P+T 10A | Tensione Nominale: 250Vac | Corrente Nominale: 10A | Sicurezza: Alveoli Protetti,1,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6530/16,Prolunga lineare 16A mt.5,Materiale Elettrico,Prolunga,Prolunga lineare spina 16A presa bipasso mt.5,Cablaggio: Tripolare | Cavo: 3x1 mm² | Standard EU: H05VV-F | Spina: 2P+T 16A | Presa: Bivalente 2P+T 10-16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Alveoli Protetti,1,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6531/16,Prolunga lineare 16A mt.10,Materiale Elettrico,Prolunga,Prolunga lineare spina 16A presa bipasso mt.10,Cablaggio: Tripolare | Cavo: 3x1 mm² | Standard EU: H05VV-F | Spina: 2P+T 16A | Presa: Bivalente 2P+T 10-16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Alveoli Protetti,1,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
710/T,"Multipresa 4 posti 10A mt.1,20",Materiale Elettrico,Multipresa,Multipresa 4 posti con cavo,"Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Lunghezza: 1,20 mt | Spina: 2P+T 10A | Prese: 4 x 2P+T 10A | Tensione Nominale: 250Vac | Corrente Nominale: 10A | Sicurezza: Alveoli Protetti",1,40,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
710/TN3,Multipresa 3 posti 16A,Materiale Elettrico,Multipresa,Multipresa 3 posti con cavo,"Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Lunghezza: 1,50 mt | Spina: 2P+T 16A | Prese: 3 x Bivalenti 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Alveoli Protetti",30,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
710/TN4,Multipresa 4 posti 16A,Materiale Elettrico,Multipresa,Multipresa 4 posti con cavo,"Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Lunghezza: 1,50 mt | Spina: 2P+T 16A | Prese: 4 x Bivalenti 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Alveoli Protetti",30,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
710/TN5,Multipresa 5 posti 16A,Materiale Elettrico,Multipresa,Multipresa 5 posti con cavo,"Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Lunghezza: 1,50 mt | Spina: 2P+T 16A | Prese: 5 x Bivalenti 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Alveoli Protetti",30,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
710/TN6,Multipresa 6 posti 16A,Materiale Elettrico,Multipresa,Multipresa 6 Posti con cavo,"Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Lunghezza: 1,50 mt | Spina: 2P+T 16A | Prese: 6 x Bivalenti 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A | Sicurezza: Alveoli Protetti",20,200,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
712,Avvolgibile TV mt.8,Materiale TV,Avvolgibile,Avvolgibile Coaxiale MT.8,"Connettore: Spina Ø 9,5 mm | Lunghezza: 8 mt | Impedenza: 75 Ω | Struttura: Avvolgibile",1,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
712/10,Avvolgibile TV mt.10,Materiale TV,Avvolgibile,Avvolgibile Coaxiale Mt.10,"Connettore: Spina Ø 9,5 mm | Lunghezza: 10 mt | Impedenza: 75 Ω | Struttura: Avvolgibile",1,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
712/15,Avvolgibile TV mt.15,Materiale TV,Avvolgibile,Avvolgibile Coaxiale Mt.15,"Connettore: Spina Ø 9,5 mm | Lunghezza: 15 mt | Impedenza: 75 Ω | Struttura: Avvolgibile",1,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
712/5,Avvolgibile TV mt.5,Materiale TV,Avvolgibile,Avvolgibile Coaxiale MT.5,"Connettore: Spina Ø 9,5 mm | Lunghezza: 5 mt | Impedenza: 75 Ω | Struttura: Avvolgibile",1,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
714,Avvolgibile EE 1 presa 10A mt. 5,Materiale Elettrico,Avvolgibile,Avvolgibile Elettrico,"Tipologia: Avvolgicavo Elettrico | Cablaggio: Bipolare | Cavo: 2x0,75 mm² (H03VV-F) | Spina: 2P 10A | Presa: 1 x 2P 10A | Tensione Nominale: 250Vac | Corrente Nominale: 10A",1,60,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
717/10,Avvolgibile EE mt.10,Materiale Elettrico,Avvolgibile,Avvolgibile Elettrico  Mt. 10,Tipologia: Avvolgicavo Elettrico | Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Spina: 2P+T 16A | Prese: 2 x Bivalenti 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A,1,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
717/15,Avvolgibile EE mt.15,Materiale Elettrico,Avvolgibile,Avvolgibile Elettrico Mt. 15,Tipologia: Avvolgicavo Elettrico | Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Spina: 2P+T 16A | Prese: 2 x Bivalenti 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A,1,14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
718/5,Avvolgibile EE mt.5,Materiale Elettrico,Avvolgibile,Avvolgibile Elettrico Mt. 5,Tipologia: Avvolgicavo Elettrico | Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Spina: 2P+T 16A | Prese: 2 x Bivalenti 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A,1,26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
718/8,Avvolgibile EE mt.8,Materiale Elettrico,Avvolgibile,Avvolgibile Elettrico Mt. 8,Tipologia: Avvolgicavo Elettrico | Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Spina: 2P+T 16A | Prese: 2 x Bivalenti 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A,1,26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
719/10,Avvolgibile EE mt.10,Materiale Elettrico,Avvolgibile,Avvolgibile Elettrico Mt.10,Tipologia: Avvolgicavo Elettrico | Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Spina: 2P+T 16A | Presa: 1 x Schuko/Bivalente 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A,1,26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
719/5,Avvolgibile EE mt.5,Materiale Elettrico,Avvolgibile,Avvolgibile Elettrico Mt.5,Tipologia: Avvolgicavo Elettrico | Cablaggio: Tripolare | Cavo: 3G1 mm² (H05VV-F) | Spina: 2P+T 16A | Presa: 1 x Schuko/Bivalente 10/16A | Tensione Nominale: 250Vac | Corrente Nominale: 16A,1,26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8010,Interruttore Passante,Materiale Elettrico,Interruttore,Interruttore volante Unipolare per il controllo di apparecchi,Tipologia: Interruttore Passafilo | Funzionamento: Unipolare | Tensione Nominale: 250Vac | Corrente Nominale: 2A | Grado di Protezione: IP20,50,300,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
901,Presa scart,Materiale TV,Connettore,Presa scart maschio-maschio con cavo,"Connettori: 2 x Spina 21 Poli | Lunghezza: 1,5 mt | Segnale: Analogico Audio/Video | Terminali: Nichelati",1,100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
902,Multipresa scart 2 ,Materiale TV,Multipresa,Multipresa SCART 2 posti,Connettore: Spina 21 Pin | Uscite: 2 x Presa SCART | Lunghezza Cavo: 40 cm | Segnale: Analogico Audio/Video,1,100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
903,Multipresa scart 3 ,Materiale TV,Multipresa,Multipresa SCART 3 posti,Connettore: Spina 21 Pin | Uscite: 3 x Presa SCART | Lunghezza Cavo: 40 cm | Segnale: Analogico Audio/Video,1,100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
904,Multipresa scart 4,Materiale TV,Multipresa,Multipresa SCART4 posti,Connettore: Spina 21 Pin | Uscite: 4 x Presa SCART | Lunghezza Cavo: 40 cm | Segnale: Analogico Audio/Video,1,100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
905,Multipresa scart 5,Materiale TV,Multipresa,Multipresa SCART 5 posti,Connettore: Spina 21 Pin | Uscite: 5 x Presa SCART | Lunghezza Cavo: 40 cm | Segnale: Analogico Audio/Video,1,100,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
910,Adattatore audio/video,Materiale TV,Adattatore,Adattatore audio video composito da 3 RCA a V a scart 21 poli,Ingressi: 3 x RCA Femmina | Uscita: SCART 21 Poli | Segnale: Composito e Stereo | Configurazione: Diretta,1,50,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
